MAGs,Kingdom,Phylum,Class,Order,Family,Genus
all_final_contigs_taxvamb_209_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_taxvamb_52_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium
before_final_contigs_comebin_100101,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,NA
before_final_contigs_comebin_120978_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
before_final_contigs_comebin_146732,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Paucibacter
before_final_contigs_comebin_156584,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,BOG-1363
before_final_contigs_comebin_180898_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
before_final_contigs_comebin_229_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
before_final_contigs_comebin_251_sub,NA,NA,NA,NA,NA,NA
before_final_contigs_comebin_29_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
before_final_contigs_comebin_3,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Rhodoferax
before_final_contigs_comebin_36_sub,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
before_final_contigs_comebin_56844,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium
before_final_contigs_comebin_83,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Aquisediminimonas
before_final_contigs_comebin_89,Bacteria,Pseudomonadota,Gammaproteobacteria,M30B25,M30B25,NA
before_final_contigs_comebin_96446,Bacteria,Cyanobacteriota,Cyanobacteriia,Gloeomargaritales,NA,NA
before_final_contigs_concoct_0_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,JAAFJR01
before_final_contigs_concoct_109_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
before_final_contigs_concoct_110_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
before_final_contigs_concoct_141_sub,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
before_final_contigs_concoct_186_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polaromonas
before_final_contigs_concoct_253,Unclassified Bacteria,NA,NA,NA,NA,NA
before_final_contigs_concoct_32_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
before_final_contigs_concoct_40_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
before_final_contigs_concoct_55_sub,NA,NA,NA,NA,NA,NA
before_final_contigs_metabat_127_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
before_final_contigs_metabinner_14,Bacteria,Patescibacteria,JAEDAM01,BD1-5,UBA2023,NA
before_final_contigs_rosella_0_108_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
before_final_contigs_rosella_141_sub,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
before_final_contigs_rosella_262_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
before_final_contigs_rosella_71_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
before_final_contigs_taxvamb_101_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
before_final_contigs_taxvamb_1106_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,JAAFJR01
before_final_contigs_taxvamb_684_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Rhodoferax
before_final_contigs_taxvamb_747_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera
before_final_contigs_taxvamb_81673_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera
before_final_contigs_taxvamb_81698_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polaromonas
before_final_contigs_taxvamb_8462,Bacteria,Cyanobacteriota,Cyanobacteriia,Leptolyngbyales,Leptolyngbyaceae,JAAFJU01
before_final_contigs_taxvamb_9801_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera
Co22_flye_high_cov_comebin_12711,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus
Co22_flye_high_cov_comebin_202_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_comebin_235_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_comebin_26_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_comebin_328_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_comebin_34_sub,Unclassified,NA,NA,NA,NA,NA
Co22_flye_high_cov_comebin_56377,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Sphaerotilus
Co22_flye_high_cov_concoct_118_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_concoct_140_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polaromonas
Co22_flye_high_cov_concoct_166_sub,NA,NA,NA,NA,NA,NA
Co22_flye_high_cov_concoct_171_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_concoct_207_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_concoct_224_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_concoct_225_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_concoct_46_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_concoct_49_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_concoct_80_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_concoct_89_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Hydrogenophaga
Co22_flye_high_cov_concoct_99_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium
Co22_flye_high_cov_metabat_16_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_metabinner_31_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_rosella_0_190_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,JAKFWF01
Co22_flye_high_cov_rosella_0_202_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_rosella_0_319_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_rosella_0_367_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_rosella_0_single_contig_refined_0_1_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_rosella_161_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polaromonas
Co22_flye_high_cov_rosella_260_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_rosella_40_sub,Bacteria,Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,Chamaesiphonaceae,Chamaesiphon
Co22_flye_high_cov_rosella_47_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_taxvamb_116,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_taxvamb_11873_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_taxvamb_13,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
Co22_flye_high_cov_taxvamb_222,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Co22_flye_high_cov_taxvamb_43_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_taxvamb_506_sub,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Pseudobdellovibrio
Co22_flye_high_cov_taxvamb_66_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_taxvamb_884_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P1_contigs_comebin_18_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polaromonas
P1_contigs_comebin_28_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P1_contigs_comebin_30028_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P1_contigs_comebin_37585_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,JAAFIP01
P1_contigs_comebin_53_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P1_contigs_comebin_68819_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylophilus
P1_contigs_concoct_127_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Hydrogenophaga
P1_contigs_concoct_169_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P1_contigs_concoct_55,Bacteria,Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,Microcoleaceae,NA
P1_contigs_concoct_78_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P1_contigs_metabat_13_sub,Bacteria,Cyanobacteriota,Cyanobacteriia,NA,NA,NA
P1_contigs_metabat_20,NA,NA,NA,NA,NA,NA
P1_contigs_metabat_59_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P1_contigs_metabinner_14_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Rhodoferax
P1_contigs_metabinner_19_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P1_contigs_rosella_0_10_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P1_contigs_rosella_106_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera
P2_contigs_comebin_1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Rhodoferax
P2_contigs_comebin_1995,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,JASGCK01
P2_contigs_comebin_27308_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P2_contigs_comebin_63348_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P2_contigs_comebin_71,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomataceae,Emticicia
P2_contigs_concoct_113,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola
P2_contigs_concoct_117_sub,NA,NA,NA,NA,NA,NA
P2_contigs_concoct_123_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P2_contigs_concoct_162_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P2_contigs_concoct_194_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P2_contigs_concoct_8,Bacteria,Patescibacteria,JAEDAM01,BD1-5,UBA2023,JAGOMW01
P2_contigs_metabat_17_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P2_contigs_metabat_38_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P2_contigs_rosella_0_27_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P2_contigs_rosella_101_sub,Bacteria,NA,NA,NA,NA,NA
P2_contigs_rosella_5,Bacteria,Cyanobacteriota,Cyanobacteriia,Leptolyngbyales,Leptolyngbyaceae,JAAFJU01
P3_contigs_comebin_10_sub,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
P3_contigs_comebin_24143_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polaromonas
P3_contigs_comebin_24172,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,PBB1
P3_contigs_comebin_26308_sub,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
P3_contigs_comebin_33178,Bacteria,NA,NA,NA,NA,NA
P3_contigs_comebin_36172_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P3_contigs_comebin_38501_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polaromonas
P3_contigs_comebin_65476_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polaromonas
P3_contigs_concoct_132_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P3_contigs_concoct_138_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P3_contigs_concoct_87_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polaromonas
P3_contigs_metabinner_16_sub,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
P3_contigs_metabinner_42_sub,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
P3_contigs_rosella_0_4_sub,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
P3_contigs_rosella_0_unbinned_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,JAAFJR01
P4_contigs_comebin_0,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Telluria
P4_contigs_comebin_105_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P4_contigs_comebin_10_sub,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cytophagaceae,JANYCO01
P4_contigs_comebin_112_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P4_contigs_comebin_17937,Bacteria,Chloroflexota,Limnocylindria,Limnocylindrales,CSP1-4,SPCO01
P4_contigs_comebin_25_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera
P4_contigs_comebin_27156_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Rubrivivax
P4_contigs_comebin_45_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera
P4_contigs_comebin_6193,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,JANYCG01
P4_contigs_concoct_127_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P4_contigs_concoct_129_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P4_contigs_concoct_132_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P4_contigs_concoct_154_sub,NA,NA,NA,NA,NA,NA
P4_contigs_concoct_158,NA,NA,NA,NA,NA,NA
P4_contigs_concoct_15_sub,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,BOG-1363
P4_contigs_concoct_167_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P4_contigs_concoct_172_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P4_contigs_concoct_200,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Haliscomenobacter
P4_contigs_concoct_45_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polaromonas
P4_contigs_concoct_49_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P4_contigs_concoct_63_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P4_contigs_metabinner_22,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium
P4_contigs_metabinner_43,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium
P4_contigs_taxvamb_108_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium
P4_contigs_taxvamb_1567_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P4_contigs_taxvamb_260_sub,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,BOG-1363
P4_contigs_taxvamb_262_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P5_contigs_comebin_48_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Coxiellales,Coxiellaceae,2-12-FULL-42-15
P5_contigs_comebin_73_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P5_contigs_concoct_1,Bacteria,Chloroflexota,Chloroflexia,Chloroflexales,Herpetosiphonaceae,JACCRK01
P5_contigs_concoct_11_sub,Unclassified,NA,NA,NA,NA,NA
P5_contigs_concoct_145,Bacteria,Bacteroidota,Bacteroidia,B-17B0,B-17BO,UBA4416
P5_contigs_concoct_162_sub,Unclassified,NA,NA,NA,NA,NA
P5_contigs_concoct_30_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,JAKFWF01
P5_contigs_concoct_37_sub,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,NA
P5_contigs_concoct_4_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P5_contigs_concoct_97_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P5_contigs_metabat_55_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P5_contigs_metabinner_10,Bacteria,Chloroflexota,Anaerolineae,Aggregatilineales,Phototrophicaceae,Flexicrinis
P5_contigs_rosella_0_36_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
after_final_contigs_comebin_142_sub,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,BOG-1363
after_final_contigs_comebin_148156_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
after_final_contigs_comebin_151_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
after_final_contigs_comebin_153018,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,NA
after_final_contigs_comebin_166078,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Rhodoferax
after_final_contigs_comebin_174084,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,JAAFIP01
after_final_contigs_comebin_192058,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,JAAFIP01
after_final_contigs_comebin_224195,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter
after_final_contigs_comebin_23424,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
after_final_contigs_comebin_61964_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Sphaerotilus
after_final_contigs_concoct_160_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Rhodoferax
after_final_contigs_concoct_169_sub,Bacteria,Spirochaetota,Leptospirae,Leptospirales,Leptospiraceae,UBA2033
after_final_contigs_concoct_18_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
after_final_contigs_concoct_210_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
after_final_contigs_concoct_211_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas
after_final_contigs_concoct_236_sub,NA,NA,NA,NA,NA,NA
after_final_contigs_concoct_253_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,JANYJL01
after_final_contigs_concoct_260_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter
after_final_contigs_concoct_283_sub,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter
after_final_contigs_concoct_42_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
after_final_contigs_metabinner_46_sub,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Pseudobdellovibrio
after_final_contigs_metabinner_8,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,JJ008
after_final_contigs_rosella_0_34_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
after_final_contigs_rosella_0_unbinned_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
after_final_contigs_taxvamb_1073_sub,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,ELB16-189
after_final_contigs_taxvamb_3173_sub,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,JAAFJT01
after_final_contigs_taxvamb_44030_sub,NA,NA,NA,NA,NA,NA
all_final_contigs_comebin_120_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus
all_final_contigs_comebin_126_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera
all_final_contigs_comebin_167_sub,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter
all_final_contigs_comebin_185922,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium
all_final_contigs_comebin_197_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Aquabacterium
all_final_contigs_comebin_226_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas
all_final_contigs_comebin_231823,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,JANYJJ01
all_final_contigs_comebin_25,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Rubrivivax
all_final_contigs_comebin_2536_sub,Bacteria,Cyanobacteriota,Cyanobacteriia,Gloeomargaritales,NA,NA
all_final_contigs_comebin_272_sub,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Luteolibacter
all_final_contigs_comebin_336660,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Rhodoferax
all_final_contigs_comebin_346_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,M30B25,M30B25,NA
all_final_contigs_comebin_357070,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,LMDS01
all_final_contigs_comebin_42_sub,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter
all_final_contigs_comebin_49_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera
all_final_contigs_comebin_50644,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus
all_final_contigs_comebin_53582_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polaromonas
all_final_contigs_comebin_559_sub,NA,NA,NA,NA,NA,NA
all_final_contigs_comebin_582_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_comebin_592_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Rhodoferax
all_final_contigs_comebin_66_sub,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,M3007
all_final_contigs_comebin_708_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_comebin_739_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_concoct_107_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_concoct_129_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_concoct_133_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera
all_final_contigs_concoct_146_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_concoct_160,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
all_final_contigs_concoct_163_sub,NA,NA,NA,NA,NA,NA
all_final_contigs_concoct_185_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_concoct_188_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_concoct_220_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_concoct_223_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_concoct_224_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Rhodoferax
all_final_contigs_concoct_22_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus
all_final_contigs_concoct_245_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_concoct_259_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_concoct_267_sub,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Thermoflexibacteraceae,JAAFHK01
all_final_contigs_concoct_285_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Rubrivivax
all_final_contigs_concoct_304_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polaromonas
all_final_contigs_concoct_306_sub,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
all_final_contigs_concoct_354_sub,NA,NA,NA,NA,NA,NA
all_final_contigs_concoct_356_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Rhodoferax
all_final_contigs_concoct_89_sub,NA,NA,NA,NA,NA,NA
all_final_contigs_metabat_163_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,JANYCG01
all_final_contigs_metabat_258_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_metabat_279_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_metabat_85_sub,NA,NA,NA,NA,NA,NA
all_final_contigs_metabinner_101_sub,Bacteria,Bacteroidota,Bacteroidia,UBA4408,UBA4408,NA
all_final_contigs_metabinner_105_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polaromonas
all_final_contigs_metabinner_155_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Aquabacterium
all_final_contigs_metabinner_22,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Aestuariivirgaceae,Aestuariivirga
all_final_contigs_metabinner_25,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Nanoperiomorbaceae,NA
all_final_contigs_metabinner_5,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,UBA2334
all_final_contigs_metabinner_54,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,NA
all_final_contigs_metabinner_92_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,JACMNW01
all_final_contigs_rosella_119_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_rosella_171_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_rosella_303_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_taxvamb_1260_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
